Name,Latitude,Longitude
장안문 지구대,37.29567963,127.0095022
당수 파출소,37.29168151,126.9417915
화서문 지구대,37.28670519,126.9931163
율천 파출소,37.29790121,126.971618
창룡문 파출소,37.29101098,127.0218957
매탄 지구대,37.26507515,127.0399157
곡선 지구대,37.25179667,127.0298887
인계 파출소,37.27565559,127.0313405
세류 파출소,37.24265363,127.0152567
광교 파출소,37.28854426,127.0476069
유천 파출소,37.26904491,127.0143365
호매실 파출소,37.27309796,126.9515367
고색 파출소,37.25196076,126.9862338
행궁 파출소,37.28292887,127.0213074
동부 파출소,37.28084592,127.0295834
산남 지구대,37.26860237,127.0529954
영통 지구대,37.2547675,127.0777734
권선 파출소,37.25977088,127.0295083
태장 파출소,37.24027293,127.0553658
매산 지구대,37.26607203,126.9998381
고등 파출소,37.273019,127.0024535
서호 지구대,37.28068253,126.9713094
노송 지구대,37.31031149,126.9879468
